mdl_raw,mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_sec,sdc_score,ltk_raw,ltk_score,x2mr_finish,two_mr_sec,x2mr_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_time,age,hgt_in,wt_lb,bmi,sex,acft_score
170,64,4.6,61,12,61,2:18,138S,68,0,0,15:51:00,951,84,60,80,917,298,844,3.56,23,66,143,23.67944488,Female,338
240,78,9.5,80,21,65,1:31,91S,100,0,0,15:24:00,924,87,69,88,764,297,768,2.55,22,67,210,31.84478687,Male,410
170,64,4.7,61,25,67,1:48,108S,92,13,86,13:33:00,813,99,54,104,739,358,944,3.18,22,68,146,21.94090579,Female,469
200,70,10.2,85,38,78,1:33,93S,100,10,80,15:40:00,940,85,78,76,785,294,848,2.42,23,72,192,25.41478848,Male,498
200,70,8.2,71,14,62,1:39,99S,98,7,74,15:15:00,915,88,72,74,723,290,818,2.46,21,67,145,21.97294741,Male,463
160,63,402,100,21,65,2:03,123S,77,4,68,14:19:00,859,94,62,99,853,345,902,3.32,24,64,127,21.50106395,Female,467
280,86,10.6,87,33,73,1:37,97S,99,10,80,15:22:00,922,87,62,82,758,286,770,2.54,21,72,198,25.78094172,Male,512
260,82,9.5,80,29,69,1:34,94S,100,10,80,14:09:00,849,95,70,83,779,291,824,2.45,21,71,190,26.41526626,Male,506
260,82,10.1,84,23,66,1:26,86S,100,16,92,14:06:00,846,95,74,85,805,293,914,2.34,23,73,193,25.25210189,Male,519
160,63,3.9,30,20,65,2:30,150S,65,5,70,19:03:00,1143,64,46,79,1001,279,758,4.27,22,66,142,23.01241827,Female,357
300,90,10.5,87,38,78,1:33,93S,100,8,76,13:34:00,814,99,79,87,740,329,776,2.53,22,73,182,24.19161685,Male,530
340,100,11.4,93,27,68,1:43,103S,96,11,82,16:07:00,967,82,86,78,834,288,750,2.59,21,72,181,24.59834319,Male,521
240,78,12,97,26,68,1:33,93S,100,9,78,18:47:00,1127,66,72,75,842,265,758,2.58,22,73,225,28.30538897,Male,487
150,62,5.1,62,14,62,2:27,147S,66,8,76,14:03:00,843,96,65,88,812,350,908,3.3,23,64,131,22.01708949,Female,424
300,90,9.4,79,35,75,1:35,95S,100,10,80,12:36:00,756,100,70,79,731,292,794,2.5,22,66,214,33.43026998,Male,524
220,74,9.4,79,30,70,1:41,101S,97,8,76,15:45:00,945,84,72,72,818,276,750,2.59,22,73,200,26.63796012,Male,480
150,62,4,35,8,50,2:10,130S,70,0,0,16:12:00,972,81,45,80,887,291,772,4.21,20,66,146,22.12989703,Female,298
160,63,7.2,68,30,70,2:18,138S,68,8,76,13:36:00,816,99,72,78,750,294,726,3.06,21,69,139,19.55477009,Male,444
260,82,7.7,69,36,76,1:46,106S,94,17,94,13:50:00,830,97,72,89,828,343,1000,2.5,26,66,165,25.87867268,Female,512
300,90,10.9,89,45,85,1:33,93S,100,12,84,15:28:00,928,86,85,80,786,299,848,2.42,22,67,214,31.84478687,Male,534
340,100,9.1,77,47,87,1:35,95S,100,20,100,13:23:00,803,100,80,85,686,336,936,2.3,22,76,183,22.92125796,Male,564
340,100,12.4,99,40,80,1:20,80S,100,14,88,13:44:00,824,98,86,82,764,312,968,2.24,23,71,222,30.17156708,Male,565
